x,t,u_pred,k_pred
0.22110553,0.30653265,0.023195267,0.00084263517
0.22613065,0.30653265,0.027025461,0.00085154636
0.23115578,0.30653265,0.03174734,0.00086318405
0.2361809,0.30653265,0.037813187,0.0008792731
0.24120604,0.30653265,0.04614103,0.0009036727
0.24623115,0.30653265,0.058555365,0.0009457897
0.2512563,0.30653265,0.07802427,0.0010292389
0.2562814,0.30653265,0.10730076,0.0012125736
0.26130652,0.30653265,0.14470887,0.0016236296
0.26633167,0.30653265,0.18235922,0.0024423636
0.2713568,0.30653265,0.213794,0.0037316994
0.2763819,0.30653265,0.23864794,0.0053341435
0.28140703,0.30653265,0.25890493,0.0070132897
0.28643215,0.30653265,0.27623796,0.008587425
0.2914573,0.30653265,0.29173207,0.009961401
0.2964824,0.30653265,0.30607986,0.01110623
0.30150753,0.30653265,0.31972933,0.012029935
0.30653265,0.30653265,0.33296824,0.012757179
0.3115578,0.30653265,0.3459878,0.0133188935
0.31658292,0.30653265,0.3589108,0.013746105
0.32160804,0.30653265,0.3718226,0.014067317
0.32663316,0.30653265,0.38478017,0.0143068805
0.3316583,0.30653265,0.39782,0.014484662
0.33668342,0.30653265,0.4109621,0.014616308
0.34170854,0.30653265,0.42421722,0.014713839
0.34673366,0.30653265,0.43758392,0.014786297
0.3517588,0.30653265,0.45105362,0.014840384
0.35678393,0.30653265,0.4646101,0.014881
0.36180905,0.30653265,0.47823167,0.014911723
0.36683416,0.30653265,0.49189043,0.014935161
0.37185928,0.30653265,0.5055556,0.01495318
0.37688443,0.30653265,0.5191946,0.0149671575
0.38190955,0.30653265,0.53276706,0.014978098
0.38693467,0.30653265,0.5462353,0.014986716
0.3919598,0.30653265,0.55955744,0.014993574
0.39698493,0.30653265,0.5726907,0.014999061
0.40201005,0.30653265,0.58559155,0.015003485
0.40703517,0.30653265,0.59821594,0.015007066
0.4120603,0.30653265,0.61051726,0.015009976
0.41708544,0.30653265,0.6224512,0.015012366
0.42211056,0.30653265,0.63397336,0.015014323
0.42713568,0.30653265,0.6450386,0.015015939
0.4321608,0.30653265,0.6556016,0.015017273
0.43718594,0.30653265,0.6656213,0.0150183765
0.44221106,0.30653265,0.67505705,0.0150192855
0.44723618,0.30653265,0.683866,0.01502005
0.4522613,0.30653265,0.69201255,0.0150206825
0.45728642,0.30653265,0.6994598,0.0150211975
0.46231157,0.30653265,0.70617855,0.015021627
0.46733668,0.30653265,0.7121346,0.015021972
0.4723618,0.30653265,0.71730375,0.015022255
0.47738692,0.30653265,0.7216611,0.015022479
0.48241207,0.30653265,0.72518826,0.01502265
0.4874372,0.30653265,0.72786593,0.015022776
0.4924623,0.30653265,0.7296827,0.015022859
0.49748743,0.30653265,0.73063076,0.015022906
0.5025126,0.30653265,0.73070586,0.015022906
0.50753766,0.30653265,0.7299038,0.015022869
0.5125628,0.30653265,0.7282326,0.015022789
0.51758796,0.30653265,0.72569203,0.015022675
0.52261305,0.30653265,0.7222998,0.015022511
0.5276382,0.30653265,0.7180679,0.0150222955
0.53266335,0.30653265,0.71301305,0.015022022
0.53768843,0.30653265,0.7071635,0.015021684
0.5427136,0.30653265,0.7005389,0.015021269
0.5477387,0.30653265,0.6931708,0.015020763
0.5527638,0.30653265,0.6850856,0.015020149
0.55778897,0.30653265,0.6763259,0.015019405
0.56281406,0.30653265,0.666927,0.015018507
0.5678392,0.30653265,0.6569231,0.015017425
0.5728643,0.30653265,0.64636475,0.015016113
0.57788944,0.30653265,0.6352881,0.015014526
0.5829146,0.30653265,0.62374216,0.015012601
0.5879397,0.30653265,0.61177254,0.015010244
0.5929648,0.30653265,0.5994256,0.015007374
0.59799,0.30653265,0.58674836,0.01500384
0.60301507,0.30653265,0.57378876,0.014999476
0.6080402,0.30653265,0.56059146,0.014994057
0.6130653,0.30653265,0.5472039,0.014987275
0.61809045,0.30653265,0.53367007,0.014978737
0.6231156,0.30653265,0.5200334,0.014967914
0.6281407,0.30653265,0.50633156,0.014954072
